,0,1,2,3,4
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,19.0,99.0,62.0,9.0,49.0
100,19.0,99.0,62.0,9.0,49.0
101,19.0,99.0,62.0,9.0,49.0
102,19.0,99.0,62.0,9.0,49.0
103,19.0,99.0,62.0,9.0,49.0
104,19.0,99.0,62.0,9.0,49.0
105,19.0,99.0,62.0,9.0,49.0
106,19.0,99.0,62.0,9.0,49.0
107,19.0,99.0,62.0,9.0,49.0
108,19.0,99.0,62.0,9.0,49.0
109,19.0,99.0,62.0,9.0,49.0
110,19.0,99.0,62.0,9.0,49.0
111,19.0,99.0,62.0,9.0,49.0
112,19.0,99.0,62.0,9.0,49.0
113,19.0,99.0,62.0,9.0,49.0
114,19.0,99.0,62.0,9.0,49.0
115,19.0,99.0,62.0,9.0,49.0
116,19.0,99.0,62.0,9.0,49.0
117,19.0,99.0,62.0,9.0,49.0
118,19.0,99.0,62.0,9.0,49.0
119,19.0,99.0,62.0,9.0,49.0
120,19.0,99.0,62.0,9.0,49.0
121,19.0,99.0,62.0,9.0,49.0
122,19.0,99.0,62.0,9.0,49.0
123,19.0,99.0,62.0,9.0,49.0
124,19.0,99.0,62.0,9.0,49.0
125,19.0,99.0,62.0,9.0,49.0
126,19.0,99.0,62.0,9.0,49.0
127,19.0,99.0,62.0,9.0,49.0
128,19.0,99.0,62.0,9.0,49.0
129,19.0,99.0,62.0,9.0,49.0
130,19.0,99.0,62.0,9.0,49.0
131,19.0,99.0,62.0,9.0,49.0
